employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
0, Steven, King, SKING, 515.123.4567, 1987-06-17, AD_PRES,24000,0,0,20
0, Neena, Kochhar, NKOCHHAR, 515.123.4568, 1989-11-21, AD_VP,17000,0,100,20
0, Lex, DeHaan, LDEHAAN, 515.123.4569, 1993-09-12, AD_VP,17000,0,100,30
0, Alexander, Hunold, AHUNOLD, 590.423.4567, 1990-09-30, IT_PROG,9000,0,102,60
0, Bruce, Ernst, BERNST, 590.423.4568, 1991-05-21, IT_PROG,6000,0,103,60
0, David, Austin, DAUSTIN, 590.423.4569, 1997-06-25, IT_PROG,4800,0,103,60
0, Valli, Pataballa, VPATABAL, 590.423.4560, 1998-02-05, IT_PROG,4800,0,103,40
0, Diana, Lorentz, DLORENTZ, 590.423.5567, 1999-02-09, IT_PROG,4200,0,103,40
0, Nancy, Greenberg, NGREENBE, 515.124.4569, 1994-08-17, FI_MGR,12000,0,101,100
0, Daniel, Faviet, DFAVIET, 515.124.4169, 1994-08-12, FI_ACCOUN,9000,0,108,170
0, John, Chen, JCHEN, 515.124.4269, 1997-04-09, FI_ACCOUN,8200,0,108,170
